Symbol,Weight_%,Sector,1Y_Return_%
ASIANPAINT,10.0,Consumer Goods,43.5
CIPLA,10.0,Pharmaceuticals,52.68
ITC,10.0,Consumer Goods,11.23
HINDUNILVR,10.0,Consumer Goods,5.47
DRREDDY,10.0,Pharmaceuticals,33.05
NTPC,10.0,Energy,13.58
KOTAKBANK,7.51,Banking,31.7
SUNPHARMA,6.14,Pharmaceuticals,37.01
BRITANNIA,6.13,Consumer Goods,9.26
TITAN,5.14,Consumer Goods,61.19
HDFCBANK,3.24,Banking,44.54
IOC,1.94,Energy,12.86
GAIL,1.47,Energy,53.98
RELIANCE,1.43,Energy,39.77
BPCL,1.0,Energy,16.92
AXISBANK,1.0,Banking,62.81
INDUSINDBK,1.0,Banking,98.46
ICICIBANK,1.0,Banking,62.1
ONGC,1.0,Energy,53.4
SBIN,1.0,Banking,85.95
UPL,1.0,Pharmaceuticals,68.3
