symbol,period_days,annualised_return_%,annualised_volatility_%,sharpe_ratio,sortino_ratio,max_drawdown_%,calmar_ratio,var_95_%,cvar_95_%,risk_level,composite_risk_score
ZEEL,755,-19.48,60.11,-0.424,-0.564,-80.14,-0.243,-5.35,-9.06,High,0.356
M&M,755,5.7,38.34,-0.008,-0.011,-72.66,0.078,-3.75,-5.58,High,0.365
TATAMOTORS,755,8.51,54.82,0.046,0.071,-81.78,0.104,-4.6,-7.37,High,0.38
INDUSINDBK,755,-5.57,59.58,-0.194,-0.271,-85.11,-0.065,-4.82,-8.39,High,0.383
VEDL,755,6.94,47.77,0.02,0.024,-80.25,0.086,-3.86,-7.62,High,0.401
SBIN,755,18.6,39.91,0.316,0.454,-59.49,0.313,-4.03,-5.68,High,0.41
UPL,755,3.98,45.65,-0.044,-0.051,-75.39,0.053,-3.8,-7.05,High,0.411
GAIL,755,-14.82,48.31,-0.431,-0.424,-82.38,-0.18,-3.69,-6.59,High,0.414
JSWSTEEL,755,36.4,41.35,0.735,1.029,-66.26,0.549,-3.79,-5.65,High,0.417
GRASIM,755,16.18,37.69,0.27,0.378,-63.76,0.254,-3.56,-5.16,High,0.42
COALINDIA,755,-19.76,32.99,-0.781,-1.143,-62.68,-0.315,-3.18,-4.56,Medium,0.423
BAJFINANCE,755,45.61,46.21,0.857,1.083,-62.52,0.73,-4.3,-7.03,High,0.424
TATASTEEL,755,26.44,41.8,0.489,0.747,-59.46,0.445,-4.02,-5.78,High,0.428
HINDALCO,755,24.63,44.41,0.42,0.607,-66.8,0.369,-3.87,-6.16,High,0.433
ONGC,755,-8.69,41.6,-0.353,-0.465,-68.25,-0.127,-3.5,-6.11,High,0.439
HEROMOTOCO,755,-3.2,35.39,-0.26,-0.387,-59.15,-0.054,-3.36,-5.05,High,0.441
IOC,755,-14.02,35.46,-0.565,-0.762,-59.14,-0.237,-3.32,-5.22,High,0.446
NTPC,755,-11.85,30.7,-0.581,-0.798,-57.21,-0.207,-2.84,-4.45,Medium,0.463
MARUTI,755,-5.76,35.86,-0.328,-0.45,-59.2,-0.097,-3.16,-5.23,High,0.466
WIPRO,755,23.85,33.29,0.536,0.651,-58.12,0.41,-2.96,-4.53,Medium,0.469
AXISBANK,755,19.26,43.99,0.301,0.387,-63.16,0.305,-3.58,-6.06,High,0.475
BAJAJFINSV,755,32.58,41.52,0.64,0.804,-58.59,0.556,-3.49,-5.97,High,0.484
BPCL,755,10.35,44.43,0.098,0.13,-51.74,0.2,-4.02,-6.6,High,0.486
EICHERMOT,755,-30.72,64.54,-0.569,-0.478,-93.58,-0.328,-3.77,-7.78,High,0.495
ITC,755,-4.78,28.94,-0.372,-0.513,-53.96,-0.089,-2.5,-4.16,Medium,0.497
SUNPHARMA,755,13.72,35.04,0.22,0.331,-52.1,0.263,-3.02,-4.91,High,0.506
LT,755,4.63,31.35,-0.044,-0.061,-55.65,0.083,-2.49,-4.36,Medium,0.512
BRITANNIA,755,-3.07,40.25,-0.225,-0.208,-69.02,-0.044,-2.57,-5.06,High,0.52
ICICIBANK,755,33.04,40.18,0.673,0.931,-48.31,0.684,-3.43,-5.63,High,0.526
HCLTECH,755,8.99,42.8,0.07,0.064,-65.71,0.137,-2.86,-5.65,High,0.527
HDFCBANK,755,0.41,41.04,-0.136,-0.123,-69.23,0.006,-2.44,-5.35,High,0.539
TECHM,755,19.34,32.8,0.407,0.515,-42.06,0.46,-2.95,-4.99,Medium,0.539
ADANIPORTS,755,29.43,38.4,0.61,0.794,-51.27,0.574,-2.97,-5.49,High,0.544
INFY,755,17.24,42.3,0.266,0.236,-63.47,0.272,-2.72,-5.68,High,0.547
BAJAJ-AUTO,755,15.62,30.3,0.317,0.424,-41.07,0.38,-2.67,-4.3,Medium,0.551
TITAN,755,19.63,33.4,0.408,0.53,-41.73,0.47,-2.87,-4.92,Medium,0.554
HDFC,755,15.84,35.1,0.28,0.37,-39.83,0.398,-3.05,-5.22,High,0.559
CIPLA,755,20.81,30.8,0.481,0.837,-44.31,0.47,-2.47,-3.76,Medium,0.561
KOTAKBANK,755,20.32,33.52,0.427,0.588,-36.5,0.557,-3.03,-4.8,Medium,0.563
ULTRACEMCO,755,21.04,32.73,0.46,0.668,-37.66,0.559,-2.9,-4.33,Medium,0.564
SHREECEM,755,21.86,32.04,0.495,0.745,-36.9,0.592,-2.86,-4.46,Medium,0.565
RELIANCE,755,31.61,35.21,0.727,1.062,-45.09,0.701,-2.77,-4.69,High,0.565
POWERGRID,755,7.68,28.23,0.06,0.087,-32.64,0.235,-2.7,-3.83,Medium,0.568
BHARTIARTL,755,18.25,38.04,0.322,0.516,-33.58,0.543,-3.44,-4.97,High,0.573
TCS,755,10.88,40.77,0.12,0.107,-54.59,0.199,-2.65,-5.23,High,0.582
ASIANPAINT,755,30.36,28.69,0.849,1.244,-22.44,1.353,-2.48,-3.8,Medium,0.641
DRREDDY,755,34.62,30.47,0.939,1.549,-22.23,1.557,-2.56,-3.86,Medium,0.65
NESTLEIND,755,25.54,27.29,0.716,1.183,-22.88,1.116,-2.19,-3.5,Medium,0.657
HINDUNILVR,755,20.52,26.23,0.553,0.938,-20.77,0.988,-2.1,-3.22,Medium,0.667
